	q0	q1	q2	densidad	velocidad	presion	t	x
685	1.18936101	1.18936101	3.0946805	1.18936101	1.0	0.9999999979999998	0.0	3.7
686	1.19930878	1.19930878	3.09965439	1.19930878	1.0	0.9999999999999998	0.0	3.72
687	1.20961139	1.20961139	3.10480569	1.20961139	1.0	0.9999999979999998	0.0	3.74
688	1.22027027	1.22027027	3.11013513	1.22027027	1.0	0.9999999979999998	0.0	3.7600000000000002
689	1.23128606	1.23128606	3.11564303	1.23128606	1.0	0.9999999999999998	0.0	3.7800000000000002
690	1.24265854	1.24265854	3.12132927	1.24265854	1.0	0.9999999999999998	0.0	3.8000000000000003
691	1.25438663	1.25438663	3.12719332	1.25438663	1.0	1.0000000019999997	0.0	3.8200000000000003
692	1.2664683	1.2664683	3.13323415	1.2664683	1.0	0.9999999999999998	0.0	3.84
693	1.27890055	1.27890055	3.13945028	1.27890055	1.0	1.000000002	0.0	3.86
694	1.29167941	1.29167941	3.1458397	1.29167941	1.0	0.9999999979999996	0.0	3.88
695	1.30479983	1.30479983	3.15239992	1.30479983	1.0	1.0000000019999997	0.0	3.9
696	1.31825574	1.31825574	3.15912787	1.31825574	1.0	0.9999999999999998	0.0	3.92
697	1.33203995	1.33203995	3.16601997	1.33203995	1.0	0.9999999979999996	0.0	3.94
698	1.34614414	1.34614414	3.17307207	1.34614414	1.0	0.9999999999999998	0.0	3.96
699	1.36055888	1.36055888	3.18027944	1.36055888	1.0	0.9999999999999998	0.0	3.98
700	1.37527357	1.37527357	3.18763678	1.37527357	1.0	0.9999999979999998	0.0	4.0
701	1.39027643	1.39027643	3.19513821	1.39027643	1.0	0.9999999979999998	0.0	4.0200000000000005
702	1.40555451	1.40555451	3.20277725	1.40555451	1.0	0.9999999979999998	0.0	4.04
703	1.42109366	1.42109366	3.21054683	1.42109366	1.0	0.9999999999999998	0.0	4.0600000000000005
704	1.43687857	1.43687857	3.21843928	1.43687857	1.0	0.9999999979999998	0.0	4.08
705	1.45289272	1.45289272	3.22644636	1.45289272	1.0	0.9999999999999998	0.0	4.1
706	1.46911844	1.46911844	3.23455922	1.46911844	1.0	0.9999999999999998	0.0	4.12
707	1.4855369	1.4855369	3.24276845	1.4855369	1.0	0.9999999999999998	0.0	4.14
708	1.50212811	1.50212811	3.25106405	1.50212811	1.0	0.9999999979999998	0.0	4.16
709	1.51887099	1.51887099	3.2594355	1.51887099	1.0	1.0000000019999997	0.0	4.18
710	1.53574338	1.53574338	3.26787169	1.53574338	1.0	0.9999999999999998	0.0	4.2
711	1.55272206	1.55272206	3.27636103	1.55272206	1.0	0.9999999999999998	0.0	4.22
712	1.56978282	1.56978282	3.28489141	1.56978282	1.0	0.9999999999999998	0.0	4.24
713	1.58690049	1.58690049	3.29345024	1.58690049	1.0	0.9999999979999996	0.0	4.26
714	1.60404897	1.60404897	3.30202449	1.60404897	1.0	1.0000000019999997	0.0	4.28
715	1.62120136	1.62120136	3.31060068	1.62120136	1.0	0.9999999999999998	0.0	4.3
716	1.63832993	1.63832993	3.31916496	1.63832993	1.0	0.9999999979999998	0.0	4.32
717	1.65540625	1.65540625	3.32770313	1.65540625	1.0	1.000000002	0.0	4.34
718	1.67240126	1.67240126	3.33620063	1.67240126	1.0	0.9999999999999998	0.0	4.36
719	1.68928531	1.68928531	3.34464266	1.68928531	1.0	1.0000000019999997	0.0	4.38
720	1.70602827	1.70602827	3.35301413	1.70602827	1.0	0.9999999979999998	0.0	4.4
721	1.72259961	1.72259961	3.3612998	1.72259961	1.0	0.9999999979999996	0.0	4.42
722	1.73896849	1.73896849	3.36948424	1.73896849	1.0	0.9999999979999996	0.0	4.44
723	1.75510384	1.75510384	3.37755192	1.75510384	1.0	0.9999999999999998	0.0	4.46
724	1.77097448	1.77097448	3.38548724	1.77097448	1.0	0.9999999999999998	0.0	4.48
725	1.7865492	1.7865492	3.3932746	1.7865492	1.0	0.9999999999999998	0.0	4.5
726	1.80179686	1.80179686	3.40089843	1.80179686	1.0	0.9999999999999998	0.0	4.5200000000000005
727	1.81668648	1.81668648	3.40834324	1.81668648	1.0	0.9999999999999998	0.0	4.54
728	1.8311874	1.8311874	3.4155937	1.8311874	1.0	0.9999999999999998	0.0	4.5600000000000005
729	1.8452693	1.8452693	3.42263465	1.8452693	1.0	0.9999999999999998	0.0	4.58
730	1.85890239	1.85890239	3.42945119	1.85890239	1.0	0.9999999979999998	0.0	4.6000000000000005
731	1.87205743	1.87205743	3.43602871	1.87205743	1.0	0.9999999979999998	0.0	4.62
732	1.8847059	1.8847059	3.44235295	1.8847059	1.0	0.9999999999999998	0.0	4.64
733	1.8968201	1.8968201	3.44841005	1.8968201	1.0	0.9999999999999998	0.0	4.66
734	1.90837317	1.90837317	3.45418659	1.90837317	1.0	1.0000000019999997	0.0	4.68
735	1.91933932	1.91933932	3.45966966	1.91933932	1.0	0.9999999999999998	0.0	4.7
736	1.92969379	1.92969379	3.4648469	1.92969379	1.0	1.0000000019999997	0.0	4.72
737	1.93941306	1.93941306	3.46970653	1.93941306	1.0	0.9999999999999998	0.0	4.74
738	1.94847486	1.94847486	3.47423743	1.94847486	1.0	0.9999999999999998	0.0	4.76
739	1.95685827	1.95685827	3.47842913	1.95685827	1.0	0.9999999979999998	0.0	4.78
740	1.96454383	1.96454383	3.48227192	1.96454383	1.0	1.0000000019999997	0.0	4.8
741	1.97151361	1.97151361	3.48575681	1.97151361	1.0	1.0000000019999997	0.0	4.82
742	1.97775124	1.97775124	3.48887562	1.97775124	1.0	0.9999999999999998	0.0	4.84
743	1.983242	1.983242	3.491621	1.983242	1.0	0.9999999999999998	0.0	4.86
744	1.98797291	1.98797291	3.49398646	1.98797291	1.0	1.0000000019999997	0.0	4.88
745	1.99193272	1.99193272	3.49596636	1.99193272	1.0	0.9999999999999998	0.0	4.9
746	1.99511199	1.99511199	3.49755599	1.99511199	1.0	0.9999999979999998	0.0	4.92
747	1.99750312	1.99750312	3.49875156	1.99750312	1.0	0.9999999999999998	0.0	4.94
748	1.9991004	1.9991004	3.4995502	1.9991004	1.0	0.9999999999999998	0.0	4.96
749	1.9999	1.9999	3.49995	1.9999	1.0	0.9999999999999998	0.0	4.98
750	1.9999	1.9999	3.49995	1.9999	1.0	0.9999999999999998	0.0	5.0
751	1.9991004	1.9991004	3.4995502	1.9991004	1.0	0.9999999999999998	0.0	5.0200000000000005
752	1.99750312	1.99750312	3.49875156	1.99750312	1.0	0.9999999999999998	0.0	5.04
753	1.99511199	1.99511199	3.49755599	1.99511199	1.0	0.9999999979999998	0.0	5.0600000000000005
754	1.99193272	1.99193272	3.49596636	1.99193272	1.0	0.9999999999999998	0.0	5.08
755	1.98797291	1.98797291	3.49398646	1.98797291	1.0	1.0000000019999997	0.0	5.1000000000000005
756	1.983242	1.983242	3.491621	1.983242	1.0	0.9999999999999998	0.0	5.12
757	1.97775124	1.97775124	3.48887562	1.97775124	1.0	0.9999999999999998	0.0	5.14
758	1.97151361	1.97151361	3.48575681	1.97151361	1.0	1.0000000019999997	0.0	5.16
759	1.96454383	1.96454383	3.48227192	1.96454383	1.0	1.0000000019999997	0.0	5.18
760	1.95685827	1.95685827	3.47842913	1.95685827	1.0	0.9999999979999998	0.0	5.2
761	1.94847486	1.94847486	3.47423743	1.94847486	1.0	0.9999999999999998	0.0	5.22
762	1.93941306	1.93941306	3.46970653	1.93941306	1.0	0.9999999999999998	0.0	5.24
763	1.92969379	1.92969379	3.4648469	1.92969379	1.0	1.0000000019999997	0.0	5.26
764	1.91933932	1.91933932	3.45966966	1.91933932	1.0	0.9999999999999998	0.0	5.28
765	1.90837317	1.90837317	3.45418659	1.90837317	1.0	1.0000000019999997	0.0	5.3
766	1.8968201	1.8968201	3.44841005	1.8968201	1.0	0.9999999999999998	0.0	5.32
767	1.8847059	1.8847059	3.44235295	1.8847059	1.0	0.9999999999999998	0.0	5.34
768	1.87205743	1.87205743	3.43602871	1.87205743	1.0	0.9999999979999998	0.0	5.36
769	1.85890239	1.85890239	3.42945119	1.85890239	1.0	0.9999999979999998	0.0	5.38
770	1.8452693	1.8452693	3.42263465	1.8452693	1.0	0.9999999999999998	0.0	5.4
771	1.8311874	1.8311874	3.4155937	1.8311874	1.0	0.9999999999999998	0.0	5.42
772	1.81668648	1.81668648	3.40834324	1.81668648	1.0	0.9999999999999998	0.0	5.44
773	1.80179686	1.80179686	3.40089843	1.80179686	1.0	0.9999999999999998	0.0	5.46
774	1.7865492	1.7865492	3.3932746	1.7865492	1.0	0.9999999999999998	0.0	5.48
775	1.77097448	1.77097448	3.38548724	1.77097448	1.0	0.9999999999999998	0.0	5.5
776	1.75510384	1.75510384	3.37755192	1.75510384	1.0	0.9999999999999998	0.0	5.5200000000000005
777	1.73896849	1.73896849	3.36948424	1.73896849	1.0	0.9999999979999996	0.0	5.54
778	1.72259961	1.72259961	3.3612998	1.72259961	1.0	0.9999999979999996	0.0	5.5600000000000005
779	1.70602827	1.70602827	3.35301413	1.70602827	1.0	0.9999999979999998	0.0	5.58
780	1.68928531	1.68928531	3.34464266	1.68928531	1.0	1.0000000019999997	0.0	5.6000000000000005
781	1.67240126	1.67240126	3.33620063	1.67240126	1.0	0.9999999999999998	0.0	5.62
782	1.65540625	1.65540625	3.32770313	1.65540625	1.0	1.000000002	0.0	5.64
783	1.63832993	1.63832993	3.31916496	1.63832993	1.0	0.9999999979999998	0.0	5.66
784	1.62120136	1.62120136	3.31060068	1.62120136	1.0	0.9999999999999998	0.0	5.68
785	1.60404897	1.60404897	3.30202449	1.60404897	1.0	1.0000000019999997	0.0	5.7
786	1.58690049	1.58690049	3.29345024	1.58690049	1.0	0.9999999979999996	0.0	5.72
787	1.56978282	1.56978282	3.28489141	1.56978282	1.0	0.9999999999999998	0.0	5.74
788	1.55272206	1.55272206	3.27636103	1.55272206	1.0	0.9999999999999998	0.0	5.76
789	1.53574338	1.53574338	3.26787169	1.53574338	1.0	0.9999999999999998	0.0	5.78
790	1.51887099	1.51887099	3.2594355	1.51887099	1.0	1.0000000019999997	0.0	5.8
791	1.50212811	1.50212811	3.25106405	1.50212811	1.0	0.9999999979999998	0.0	5.82
792	1.4855369	1.4855369	3.24276845	1.4855369	1.0	0.9999999999999998	0.0	5.84
793	1.46911844	1.46911844	3.23455922	1.46911844	1.0	0.9999999999999998	0.0	5.86
794	1.45289272	1.45289272	3.22644636	1.45289272	1.0	0.9999999999999998	0.0	5.88
795	1.43687857	1.43687857	3.21843928	1.43687857	1.0	0.9999999979999998	0.0	5.9
796	1.42109366	1.42109366	3.21054683	1.42109366	1.0	0.9999999999999998	0.0	5.92
